calib_level,common_name,dataRights,dataURI,dataproduct_type,description,filters,inst_family,obsID,obs_collection,obs_id,parent_obsid,productDocumentationURL,productFilename,productGroupDescription,productSubGroupDescription,productType,project,proposal_id,prvversion,size,type
2,SWIFT J2325.6+2157,PUBLIC,mast:HST/product/lcxv22mkq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,25030214,HST,lcxv22mkq,25030444,,lcxv22mkq_x1d.fits,,X1D,SCIENCE,CALCOS,14268,3.6.1,3389760,S
2,SWIFT J2325.6+2157,PUBLIC,mast:HST/product/lcxv22moq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,25030215,HST,lcxv22moq,25030444,,lcxv22moq_x1d.fits,,X1D,SCIENCE,CALCOS,14268,3.6.1,3389760,S
2,SWIFT J2325.6+2157,PUBLIC,mast:HST/product/lcxv22msq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,25030216,HST,lcxv22msq,25030444,,lcxv22msq_x1d.fits,,X1D,SCIENCE,CALCOS,14268,3.6.1,3389760,S
2,SWIFT J2325.6+2157,PUBLIC,mast:HST/product/lcxv22mxq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,25030217,HST,lcxv22mxq,25030444,,lcxv22mxq_x1d.fits,,X1D,SCIENCE,CALCOS,14268,3.6.1,3389760,S
3,SWIFT J2325.6+2157,PUBLIC,mast:HST/product/lcxv22070_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,25030444,HST,lcxv22070,25030444,,lcxv22070_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,14268,3.6.1,1814400,D
2,SWIFT J2325.6+2157,PUBLIC,mast:HST/product/lcxv22n3q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,25030218,HST,lcxv22n3q,25030445,,lcxv22n3q_x1d.fits,,X1D,SCIENCE,CALCOS,14268,3.6.1,3389760,S
2,SWIFT J2325.6+2157,PUBLIC,mast:HST/product/lcxv22n7q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,25030219,HST,lcxv22n7q,25030445,,lcxv22n7q_x1d.fits,,X1D,SCIENCE,CALCOS,14268,3.6.1,3389760,S
2,SWIFT J2325.6+2157,PUBLIC,mast:HST/product/lcxv22nbq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,25030220,HST,lcxv22nbq,25030445,,lcxv22nbq_x1d.fits,,X1D,SCIENCE,CALCOS,14268,3.6.1,3389760,S
2,SWIFT J2325.6+2157,PUBLIC,mast:HST/product/lcxv22ngq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,25030221,HST,lcxv22ngq,25030445,,lcxv22ngq_x1d.fits,,X1D,SCIENCE,CALCOS,14268,3.6.1,3389760,S
3,SWIFT J2325.6+2157,PUBLIC,mast:HST/product/lcxv22080_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,25030445,HST,lcxv22080,25030445,,lcxv22080_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,14268,3.6.1,1814400,D
3,2MASS J10233966+5233496,PUBLIC,mast:HST/product/lf7v11010_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G140L,COS,233637911,HST,lf7v11010,233637911,,lf7v11010_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,17433,3.6.1,1814400,D
2,2MASS J10233966+5233496,PUBLIC,mast:HST/product/lf7v11ezq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,233637912,HST,lf7v11ezq,233637911,,lf7v11ezq_x1d.fits,,X1D,SCIENCE,CALCOS,17433,3.6.1,3389760,S
2,2MASS J10233966+5233496,PUBLIC,mast:HST/product/lf7v11f3q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,233637913,HST,lf7v11f3q,233637911,,lf7v11f3q_x1d.fits,,X1D,SCIENCE,CALCOS,17433,3.6.1,3389760,S
2,2MASS J10233966+5233496,PUBLIC,mast:HST/product/lf7v11f1q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,233637914,HST,lf7v11f1q,233637911,,lf7v11f1q_x1d.fits,,X1D,SCIENCE,CALCOS,17433,3.6.1,3389760,S
2,2MASS J10233966+5233496,PUBLIC,mast:HST/product/lf7v11f5q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,233637915,HST,lf7v11f5q,233637911,,lf7v11f5q_x1d.fits,,X1D,SCIENCE,CALCOS,17433,3.6.1,3389760,S
