ra_deg              , dec_deg             , em_min_aa           , em_max_aa          , all_instruments, mast_target_name            , total_exptime       , n_obs, proposal_ids                                                                             , z_rankine, rankine_name, rankine_sep_arcsec    , in_rankine, in_wushen, wushen_sep_arcsec         , z_wushen          , z_lyke            , wushen_name       , z_legacy         , name_legacy            , in_legacy_csv, legacy_sep_arcsec        , f1450_legacy          , z_src_legacy                              , z_kaspi, z_rm    , z_ned, ned_name, ned_z_flag, best_z            , z_source, em_max_aa_uv      , civ_obs_aa        , has_civ, in_sulentic2007, in_kaspi2000, in_barth2015, in_du2015, in_bentz2015, in_shen2016, in_matthews2021, catalog_flags, in_nls1_rk17, common_name
259.70956946293995  , 30.700439973140004  ,  784.2232           ,  2050.0            , COS            , 2MASS J17185029+3042017     ,   4080.0            ,     2, 17217                                                                                    ,          ,             ,    314.75376258833165 , False     , True     ,      0.013815164024997512 , 0.2823390330206112, 0.28247           , 171850.29+304201.5,                  ,                        , False        , 10400.824438422891       ,                       ,                                           ,        ,         ,      ,         ,           , 0.2823390330206112, W       , 2050.0            , 1990.1901792479887, True   , False          , False       , False       , False    , False       , False      , False          ,           128, True        , 2MASS J17185029+3042017
185.28721222858002  , 42.47755857879001   ,  784.3817           ,  2050.0            , COS            , 2MASS J12210891+4228388     ,   4207.584          ,     2, 17217                                                                                    ,          ,             ,    522.7059701615804  , False     , True     ,      0.018856122041741613 , 0.2881621507280459, 0.287823          , 122108.93+422839.2,                  ,                        , False        , 13873.406559733463       ,                       ,                                           ,        ,         ,      ,         ,           , 0.2881621507280459, W       , 2050.0            , 1999.227657929927 , True   , False          , False       , False       , False    , False       , False      , False          ,           128, True        , 2MASS J12210891+4228388
183.50561865083     , 40.806363748820004  ,  783.3644           ,  2050.0            , COS            , 2MASS J12140133+4048233     ,   3904.064          ,     2, 17217                                                                                    ,          ,             ,    382.1163093549188  , False     , True     ,      0.018254901090024978 , 0.2769524597484584, 0.277065          , 121401.34+404822.8,                  ,                        , False        , 15212.643262501168       ,                       ,                                           ,        ,         ,      ,         ,           , 0.2769524597484584, W       , 2050.0            , 1981.8302175296076, True   , False          , False       , False       , False    , False       , False      , False          ,           128, True        , 2MASS J12140133+4048233
196.09535704986502  , 20.919536575149998  ,  784.5985           ,  2050.0            , COS            , 2MASS J13042289+2055107     ,   4071.2960000000003,     2, 17217                                                                                    ,          ,             ,    454.4266872067675  , False     , True     ,      0.038922892920900544 , 0.2822847917674421, 0.2824            , 130422.88+205510.3,                  ,                        , False        ,  9392.192297848525       ,                       ,                                           ,        ,         ,      ,         ,           , 0.2822847917674421, W       , 2050.0            , 1990.10599682307  , True   , False          , False       , False       , False    , False       , False      , False          ,             0, False       , 2MASS J13042289+2055107
121.09424064935499  , 19.444102662975     ,  785.5384000000001  ,  2050.0            , COS            , 2MASS J08042265+1926386     ,   3985.44           ,     2, 17217                                                                                    ,          ,             ,    780.0706545847711  , False     , True     ,      0.037912740305754096 , 0.2786677653299724, 0.278965          , 080422.61+192638.7,                  ,                        , False        , 38628.24051509183        ,                       ,                                           ,        ,         ,      ,         ,           , 0.2786677653299724, W       , 2050.0            , 1984.492371792117 , True   , False          , False       , False       , False    , False       , False      , False          ,             0, False       , 2MASS J08042265+1926386
190.544187484225    , 33.28407258326      ,   31.5605           ,  2439.9381         , COS            , IRASF12397+3333             ,   3727.8720000000003,     2, 17433                                                                                    ,          ,             ,    695.3571498800844  , False     , False    ,    318.79970971059186     ,                   ,                   ,                   ,                  ,                        , False        , 12326.6676376064         ,                       ,                                           ,        , 0.043513,      ,         ,           , 0.043513          , B       , 2439.9381         , 1619.532176       , True   , False          , False       , False       , True     , True        , False      , False          ,           140, True        , IRASF12397+3333
143.26118830643497  , 38.874447296225     ,   30.6978           ,  2439.1389         , COS            , LEDA 3095876                ,   3799.904          ,     2, 17433                                                                                    ,          ,             ,    253.36396801196838 , False     , True     ,      0.0210435175762566   , 0.1772697001326776, 0.1770598888397216, 093302.68+385228.0,                  ,                        , False        ,  4236.9448225229025      ,                       ,                                           ,        , 0.17721 ,      ,         ,           , 0.1772697001326776, W       , 2439.1389         , 1827.1225746059156, True   , False          , False       , False       , False    , True        , False      , False          ,           136, True        , LEDA 3095876
 71.119899744655    , 12.3532558293675    ,   50.1443           ,  2439.4773         , COS            , IRAS04416+1215              ,   7375.904          ,     4, 17433                                                                                    ,          ,             ,   6032.989788685455   , False     , True     ,      0.005329475695359375 , 0.0892256129861164, 0.0893            , 044428.77+122111.7,                  ,                        , False        , 52824.59904295205        ,                       ,                                           ,        , 0.0889  ,      ,         ,           , 0.0892256129861164, W       , 2439.4773         , 1690.4781513544526, True   , False          , False       , False       , True     , True        , False      , False          ,           140, True        , IRAS04416+1215
120.381625046145    , 35.74343389538      ,   31.482099999999996,  2439.4712         , COS            , 2MASS J08013157+3544362     ,   3807.904          ,     2, 17433                                                                                    ,          ,             ,    518.8019698862914  , False     , True     ,      0.06651052477761463  , 0.1788997738249112, 0.178521916270256 , 080131.58+354436.4,                  ,                        , False        , 18360.873784012485       ,                       ,                                           ,        ,         ,      ,         ,           , 0.1788997738249112, W       , 2439.4712         , 1829.6524489762621, True   , False          , False       , False       , True     , False       , False      , False          ,           132, True        , 2MASS J08013157+3544362
128.972765058145    , 5.888088264076      ,   30.9333           ,  2439.7226000000005, COS            , 2MASS J08355346+0553171     ,   3791.9680000000003,     2, 17433                                                                                    ,          ,             ,    407.4151475739767  , False     , True     ,      0.002657495996301632 , 0.2050768372364957, 0.20512           , 083553.46+055317.1,                  ,                        , False        , 26702.741741581198       ,                       ,                                           ,        , 0.20512 ,      ,         ,           , 0.2050768372364957, W       , 2439.7226000000005, 1870.2792513910413, True   , False          , False       , False       , False    , True        , False      , False          ,           136, True        , 2MASS J08355346+0553171
