intentType,obs_collection,provenance_name,instrument,project,filters,wave_region,mast_target_name,target_classification,obs_id,ra_deg,dec_deg,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,wavelength_region,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,objID,wave_min,wave_max,common_name,inst_family
science,HST,CALCOS,COS/FUV,HST,G140L,UV,LY08,GALAXY;STAR FORMING REGION,lcp109010,144.8454166667,37.16221944444,spectrum,"McCandliss, Stephan Robert",3,57010.649229166665,57010.65738877315,600.0,UV,123.0,205.0,High efficiency SNAP survey for Lyman alpha emitters at low redshift,57011.01287037,13761,SNAP,,POLYGON 144.8458147 37.16236063 144.84570821 37.16247743 144.84555131 37.16254963 144.84537113 37.16256472 144.84519882 37.1625201 144.84506418 37.16242349 144.84499049 37.16229159 144.84499049 37.16214721 144.84506418 37.16201531 144.84519882 37.1619187 144.84537113 37.16187408 144.84555131 37.16188917 144.84570821 37.16196136 144.8458147 37.16207817 144.84585237 37.1622194 144.8458147 37.16236063 144.8458147 37.16236063,mast:HST/product/lcp109010_x1dsum.png,mast:HST/product/lcp109010_x1dsum.fits,PUBLIC,False,,24847081,1006749490,123.0,205.0,2MASS J09392289+3709438,COS
science,HST,HASP,COS,HASP,G140L,XRAY;EUV;UV,LY08,,hst_hasp_13761_cos_ly08_lcp1,144.84541666866667,37.162219444398744,spectrum,McCandliss,2,57010.64922453704,57010.65738425926,599.9680000000001,XRAY;EUV;UV,2.5678199999999998,240.01976,,57637.2210996,13761,HASP,,CIRCLE 144.8454166667 37.16221944444 0.00034722222222222224,mast:HST/product/hasp/hst_13761_cos_ly08_cg140l_lcp109_cspec.png,mast:HST/product/hasp/hst_13761_cos_ly08_cg140l_lcp1_cspec.fits,PUBLIC,False,,199016282,1102176878,2.5678199999999998,240.01976,2MASS J09392289+3709438,COS
science,HST,CALCOS,COS/FUV,HST,G140L,UV,SDSSJ100744.54+500746.6,UNIDENTIFIED;ACCRETION DISK;BLR,lb1414010,151.9355833333,50.12963055556,spectrum,"Heckman, Timothy M.",3,55583.886635532406,55583.91553599537,2497.152,UV,123.0,205.0,The Impact of Starbursts on the Gaseous Halos of Galaxies,55949.06086808,11728,GO,,CIRCLE 151.93558333 50.1296306 0.00034722,mast:HST/product/lb1414010_x1dsum.png,mast:HST/product/lb1414010_x1dsum.fits,PUBLIC,False,,24840821,1006521573,123.0,205.0,2MASS J10074455+5007467,COS
science,HST,HASP,COS,HASP,G140L,EUV;UV,SDSSJ100744.54+500746.6,,hst_hasp_11728_cos_sdssj100744d54p500746d6_lb14,151.93558333466666,50.129630555963146,spectrum,Heckman,2,55583.88663194444,55583.91553240741,2497.152,EUV;UV,45.46337,238.10832,,56096.20966437,11728,HASP,,CIRCLE 151.9355833333 50.12963055556 0.00034722222222222224,mast:HST/product/hasp/hst_11728_cos_sdssj100744d54p500746d6_cg140l_lb1414_cspec.png,mast:HST/product/hasp/hst_11728_cos_sdssj100744d54p500746d6_cg140l_lb14_cspec.fits,PUBLIC,False,,198950432,1103739027,45.46337,238.10832,2MASS J10074455+5007467,COS
science,HST,CALCOS,COS/FUV,HST,G140L,UV,SDSSJ111905.27+592514.1,GALAXY;STARBURST,ldie02010,169.7719583333,59.42058333333,spectrum,"Heckman, Timothy M.",3,58387.086767789355,58387.18274001157,5502.72,UV,123.0,205.0,Testing a New Method for Finding Leaky Galaxies: Implications for the Epoch of Reionization,58387.37753468,15341,GO,,POLYGON 169.77264085 59.4205833 169.77258185 59.42072453 169.77241503 59.42084133 169.77216924 59.42091353 169.77188699 59.42092862 169.77161707 59.420884 169.77140616 59.42078739 169.77129072 59.42065549 169.77129073 59.42051111 169.77140616 59.42037921 169.77161707 59.4202826 169.77188699 59.42023798 169.77216924 59.42025307 169.77241502 59.42032526 169.77258184 59.42044207 169.77264085 59.4205833 169.77264085 59.4205833,mast:HST/product/ldie02010_x1dsum.png,mast:HST/product/ldie02010_x1dsum.fits,PUBLIC,False,,26121132,1007343589,123.0,205.0,2MASS J11190530+5925140,COS
science,HST,HASP,COS,HASP,G140L,UV,SDSSJ111905.27+592514.1,,hst_hasp_15341_cos_sdssj111905d27p592514d1_ldie,169.77195833266666,59.42058333289026,spectrum,Heckman,2,58387.08675925926,58387.18273148148,5502.72,UV,111.06195,227.96638,,58387.37753468,15341,HASP,,CIRCLE 169.7719583333 59.42058333333 0.00034722222222222224,mast:HST/product/hasp/hst_15341_cos_sdssj111905d27p592514d1_cg140l_ldie02_cspec.png,mast:HST/product/hasp/hst_15341_cos_sdssj111905d27p592514d1_cg140l_ldie_cspec.fits,PUBLIC,False,,199015764,1103609695,111.06195,227.96638,2MASS J11190530+5925140,COS
science,HST,CALCOS,COS/FUV,HST,G140L,UV,SDSSJ122534.79-024757.1,UNIDENTIFIED;ACCRETION DISK;BLR,lb1405010,186.3949583333,-2.799194444444,spectrum,"Heckman, Timothy M.",3,55347.65291438658,55347.74628244213,5325.280000000001,UV,123.0,205.0,The Impact of Starbursts on the Gaseous Halos of Galaxies,55713.07817131,11728,GO,,POLYGON -173.60538170999996 -2.79926659 -173.60532291000004 -2.79939849 -173.60521548999998 -2.7994951 -173.60507801 -2.79953972 -173.60493424000003 -2.79952463 -173.60480905999998 -2.79945243 -173.60472409 -2.79933563 -173.60469404000003 -2.7991944 -173.60472409 -2.79905317 -173.60480905999998 -2.79893637 -173.60493424000003 -2.79886417 -173.60507801 -2.79884908 -173.60521548999998 -2.7988937 -173.60532291000004 -2.79899031 -173.60538170999996 -2.79912221 -173.60538170999996 -2.79926659 -173.60538170999996 -2.79926659,mast:HST/product/lb1405010_x1dsum.png,mast:HST/product/lb1405010_x1dsum.fits,PUBLIC,False,,24840812,1006529768,123.0,205.0,2MASS J12253479-0247571,COS
science,HST,HASP,COS,HASP,G140L,EUV;UV,SDSSJ122534.79-024757.1,,hst_hasp_11728_cos_sdssj122534d79-024757d1_lb14,186.394958334,-2.7991944440257224,spectrum,Heckman,2,55347.65290509259,55347.74627314815,5325.280000000001,EUV;UV,45.45864,239.99987,,56096.20966437,11728,HASP,,CIRCLE 186.3949583333 -2.799194444444 0.00034722222222222224,mast:HST/product/hasp/hst_11728_cos_sdssj122534d79-024757d1_cg140l_lb1405_cspec.png,mast:HST/product/hasp/hst_11728_cos_sdssj122534d79-024757d1_cg140l_lb14_cspec.fits,PUBLIC,False,,198950465,1103739053,45.45864,239.99987,2MASS J12253479-0247571,COS
science,HST,CALCOS,COS/FUV,HST,G130M,UV,1H1613-097,ISM;CORONAL GAS;HALO;HIGH VELOCITY CLOUD;INTERMEDIATE VELOCITY CLOUD;WIND,lc8y14s3q,243.8295,-9.603694444444,spectrum,"Fox, Andrew J.",1,56903.80101446759,56903.80107233796,5.0,UV,115.0,145.0,The Closest Galactic Wind: UV Properties of the Milky Ways Nuclear Outflow,57268.93513876,13448,GO,,CIRCLE 243.8295 -9.6036944 0.00034722,,mast:HST/product/lc8y14s3q_rawacq.fits,PUBLIC,False,,24149280,891609536,115.0,145.0,2MASS J16151905-0936132,COS
science,HST,CALCOS,COS/FUV,HST,G130M,UV,1H1613-097,ISM;CORONAL GAS;HALO;HIGH VELOCITY CLOUD;INTERMEDIATE VELOCITY CLOUD;WIND,lc8y14s0q,243.8295,-9.603694444444,spectrum,"Fox, Andrew J.",1,56903.766571875,56903.783527893516,1465.0,UV,115.0,145.0,The Closest Galactic Wind: UV Properties of the Milky Ways Nuclear Outflow,57268.93501145,13448,GO,,CIRCLE 243.8295 -9.6036944 0.00034722,,mast:HST/product/lc8y14s0q_rawacq.fits,PUBLIC,False,,24149278,891610320,115.0,145.0,2MASS J16151905-0936132,COS
