mast_target_name,ra_deg,dec_deg,em_min_aa,em_max_aa,obs_id,t_exptime,instrument,target_classification,proposal_id,calib_level,query_classif
NGC4594-NUC1,189.9965267089,-11.6240246167,,,y2j20601t,120.0,FOS/RD,GALAXY;SPIRAL;NUCLEUS;,5512,1,unfiltered
WAVE,,,1140.0,2508.0,y26d0i04t,72.0,FOS/RD,,5530,2,unfiltered
NGC4621-NUC1,190.5095,11.64672777778,,,y2j20506t,403.0,FOS/RD,GALAXY;ELLIPTICAL;NUCLEUS;,5512,1,unfiltered
NGC4594-NUC1,189.9972928185,-11.62291661258,,,y2j20603t,180.0,FOS/RD,GALAXY;SPIRAL;NUCLEUS;,5512,1,unfiltered
WAVE,,,1573.0,2330.0,y26d0i09t,54.0,FOS/RD,,5530,2,unfiltered
WAVE,,,4574.0,6871.999999999999,y2j2050at,12.0,FOS/RD,,5512,2,unfiltered
WAVE,,,6270.0,8500.0,y26d0i05t,6.0,FOS/RD,,5530,2,unfiltered
WAVE,,,4574.0,6871.999999999999,y2j20507t,12.0,FOS/RD,,5512,2,unfiltered
NGC4594-NUC1,189.9976162584,-11.623062186,,,y2j20604t,540.0,FOS/RD,GALAXY;SPIRAL;NUCLEUS;,5512,1,unfiltered
H0903+175,136.6593543336,17.37314503796,,,y2ag0203t,40.0,FOS/RD,GALAXY;QSO;,5455,1,unfiltered
Q1413+117-A,213.9428507515,11.49543904585,,,y2lp0203t,288.0,FOS/RD,GALAXY;QSO;,5621,1,unfiltered
SN-1993J-OFFSET,148.8484916667,69.01376944444,,,y2lq0101t,2.726562738419,FOS/RD,STAR;SUPERNOVA;,5777,1,unfiltered
NGC4486,187.7059764621,12.39110973942,,,y2kz0204t,600.0,FOS/RD,EXT-CLUSTER;GLOBULAR CLUSTER,5125,1,unfiltered
Q1413+117-A,213.942796821,11.4954346288,,,y2lp0202t,153.0,FOS/RD,GALAXY;QSO;,5621,1,unfiltered
NGC4486,187.7059525,12.39110694444,,,y2kz0201t,9.0,FOS/RD,EXT-CLUSTER;GLOBULAR CLUSTER,5125,1,unfiltered
NGC4486,187.7059784589,12.39110997234,,,y2kz0203t,108.0,FOS/RD,EXT-CLUSTER;GLOBULAR CLUSTER,5125,1,unfiltered
NGC4486,187.7060882853,12.39112278263,,,y2kz0302t,300.0,FOS/RD,EXT-CLUSTER;GLOBULAR CLUSTER,5125,1,unfiltered
NGC4486,187.7060882853,12.39112278263,,,y2kz0102t,300.0,FOS/RD,EXT-CLUSTER;GLOBULAR CLUSTER,5125,1,unfiltered
NGC4486,187.7059784589,12.39110997234,,,y2kz0303t,108.0,FOS/RD,EXT-CLUSTER;GLOBULAR CLUSTER,5125,1,unfiltered
NGC4486,187.7059525,12.39110694444,,,y2kz0101t,9.0,FOS/RD,EXT-CLUSTER;GLOBULAR CLUSTER,5125,1,unfiltered
WAVE,,,4574.0,6871.999999999999,y2kz0107t,6.0,FOS/RD,,5125,2,unfiltered
0957+561B,150.3370469484,55.89695925241,,,y2kp010at,394.98046875,FOS/RD,EXT-MEDIUM;ABSORPTION LINE SYSTE,5683,1,unfiltered
0957+561B,150.3370553787,55.89689421298,,,y2kp0109t,25.28000068665,FOS/RD,EXT-MEDIUM;ABSORPTION LINE SYSTE,5683,1,unfiltered
