Name,RA,DEC,z,LogLnu2500,Z_SDSS,L3000_THB21
020818.02+272822.4,32.07512405631843,27.47289145720253,1.67378,30.073043030532048,1.6745107,45.28712198025802
020931.04+273641.0,32.37936857406169,27.61139085004509,2.28617,30.430622762579837,2.285872,45.52849558867479
020843.64+272237.2,32.181867202779806,27.377026918370515,2.72081,30.310457072280975,2.7122227999999997,45.39310888443513
020838.28+272359.0,32.159507343241216,27.399722480199557,1.67205,30.132631293288476,1.6794615000000002,45.09235763030479
020845.09+271742.0,32.18791046885235,27.29501606212656,1.75172,30.524703751493973,1.7482358,45.53759559366965
021002.61+275841.0,32.51090404847554,27.97806930015793,1.65234,29.97043235391827,1.6556721999999997,44.82700680512133
020958.10+273812.7,32.492105529908144,27.63686186645721,2.36934,30.451674864026437,2.369,45.40584133241598
020955.61+273211.1,32.4817347968289,27.536426058619288,1.92122,30.682088464792542,1.9167968999999998,45.75224323633329
020927.19+271242.7,32.363293122132404,27.211864805181452,1.66887,30.393430063430564,1.6714483,45.511711296199586
021054.81+273019.6,32.72841049729351,27.505456142742403,1.72277,30.016118530402544,1.7214468999999997,45.00986977445834
021026.72+273003.5,32.61136089088103,27.500991402726086,1.53241,30.36561749346432,1.5296627,45.268302743148105
021032.15+272618.1,32.633961728054544,27.43836561288073,2.02443,30.30232854094983,2.0201848,45.456290811102534
021019.44+271738.7,32.581030197139285,27.29410478318916,2.24158,30.683681703227194,2.2269921000000004,45.69266506310788
021243.49+275247.9,33.18122492781379,27.879984823905357,1.66853,30.121366727497346,1.6670637,45.149669166836574
021313.71+274214.8,33.30712774792562,27.704134598035964,2.20231,30.856973208089308,2.205522,45.790412955321365
021241.43+273655.5,33.17263700718746,27.615426104271076,2.0612,30.39616502837781,2.0746536,45.18307374674953
021250.69+273533.4,33.21124257337931,27.5926357597056,1.72691,30.74534056262941,1.7279863000000002,45.67786042178318
021218.48+272724.8,33.07703179382537,27.456895348321762,1.72155,30.63009196561751,1.7180471000000002,45.60801397925957
021303.16+270719.1,33.263183771802744,27.121996383755498,1.68148,30.560009360297364,1.6786358000000001,45.537770024064194
003713.15+255233.8,9.304796896207108,25.87607859433393,2.11094,30.611832099134404,2.1059544,45.60726682045056
003527.18+244650.8,8.863282454994303,24.78079507210989,1.83833,30.181163954742864,1.8361611,45.22768044863522
003608.90+250859.7,9.037092283796367,25.149937067044483,1.9311,30.837961858038582,1.9373326000000002,45.887152456275395
003517.75+250024.8,8.823983695818242,25.006897086792783,1.68641,30.176720403097846,1.6895168,45.19095347109539
003348.81+245528.5,8.45338534480959,24.924595248849002,1.58508,30.98014014398573,1.5795443999999998,46.10921308037174
003344.95+250508.5,8.437331360502071,25.08569821769669,1.89336,30.17009494495175,1.8901528000000003,45.18605485822145
003341.62+245831.7,8.423435892472412,24.975489363583346,1.81414,30.087321233650236,1.8182093000000001,45.10966348988655
003317.07+251553.1,8.321128493430933,25.26476006630013,1.68173,30.717557512987995,1.6802186000000001,45.62381264841579
003312.00+254125.2,8.300026321361543,25.690342861458262,1.5902,30.514454220288314,1.595,45.542230251803616
003257.99+253948.4,8.24164525482513,25.66346400003573,2.39412,30.344274975014876,2.385,45.36205727327918
003334.70+254835.5,8.39462244072132,25.80986407075271,2.20325,30.47100439776525,2.204,45.151697826545536
003204.72+244043.1,8.019669829050429,24.67865420330617,2.14529,30.646919405046688,2.1408865,45.78920266911549
003056.73+253609.9,7.736411915312318,25.602752926045884,2.43278,30.571708517718747,2.431,45.43971593820758
003019.03+254415.7,7.57932262791013,25.73772063583857,1.77915,30.37644423627689,1.7812717,45.113017217049816
003010.40+244036.0,7.543359008695687,24.67669035113317,1.66408,30.264323802222613,1.6662270000000001,45.19163027359925
002939.38+254736.8,7.4141100201543395,25.79356205310616,1.95912,30.862738501511515,1.9602096000000002,46.102291891172754
002906.33+253544.5,7.276386879273957,25.595703139332123,1.87207,30.691512484051913,1.8701322,45.48033217908853
002825.75+245834.5,7.107325141111801,24.97627655210887,2.01071,30.50275392264934,2.0075123,45.533818985022336
002717.22+250130.9,6.821777651165178,25.025270381982303,1.55117,30.485700188280624,1.5522732,45.44528731146027
002815.52+253855.6,7.064685848656097,25.64878374186717,2.55083,30.810185773154906,2.5498197,45.4799324283436
002750.88+264341.5,6.9620174438261975,26.728208352840642,2.54375,30.425253439143503,2.5527843999999997,45.064891598715754
002753.25+264856.6,6.9719065661736295,26.815743855546174,1.57628,30.48325768471401,1.5805885,45.60404087775231
002746.11+260549.7,6.942128026760884,26.097158404414404,2.53768,30.20946437273131,2.543,45.03513937790615
002811.95+261239.2,7.0498195517809545,26.21091634952004,1.73069,30.346746705635383,1.7298521,45.38332047516374
002853.31+255439.6,7.222138486087829,25.911005602616573,1.93254,30.743732263990516,1.9303486,45.73164672114932
003011.47+262754.5,7.547828542891864,26.46514403621598,1.94163,30.301455544145234,1.9470205000000005,45.17313857136395
003114.94+262848.0,7.8122805418078665,26.480011939297427,1.87492,30.303633590105655,1.885,45.19067997494836
003136.76+265523.4,7.903181488193468,26.92318326528132,1.77599,30.235586370398593,1.7880068999999998,45.10335406012647
003139.71+262627.1,7.915477702340809,26.44086289690124,1.67838,30.64541267562491,1.676595,45.48648214496325
003206.30+263231.5,8.026276354495963,26.54210541155172,1.62963,29.99544923794133,1.6321145000000001,45.05480897841088
003159.57+261831.1,7.998224115930327,26.3086612335284,2.77374,30.61068811054583,2.78029,45.49135381596838
003137.64+261134.9,7.906851892951977,26.193051299976922,2.06935,30.80623378531748,2.0635285,45.98817625769903
003347.28+265424.4,8.447002751158777,26.90679872841203,2.26398,30.760699522844988,2.2571895,45.80606962277188
003319.79+263938.4,8.332468054879714,26.660692677967447,1.84263,30.651668179759668,1.842859,45.59952073980043
003310.49+263529.3,8.293726217049425,26.591479820271875,2.53203,30.74318249300257,2.539,45.57224957676688
003316.88+262527.5,8.320359653651508,26.42431013975688,1.92644,30.465775783762425,1.9131644,45.53489319337712
003329.17+262046.2,8.371581347854544,26.34616966204357,1.83917,30.487541217672984,1.8373224999999997,45.56309496897307
003406.97+260456.2,8.529074399842159,26.08230430706337,1.8128,30.476103290789297,1.8189491999999998,45.58917245326636
003419.82+270926.4,8.582585649239263,27.15735122953813,2.77759,30.721558306261905,2.7758946,45.75947920161548
003547.28+261744.5,8.947010059031129,26.29571405720421,1.80817,30.659279403851905,1.7992169999999998,45.76458979041425
003514.60+261338.1,8.810869748277812,26.22726226170464,1.76251,30.389511253812117,1.7613368000000005,45.455748498269045
003539.53+262249.4,8.914728613800833,26.380389576587692,1.54877,30.356626869940733,1.5474681000000001,45.38164442967626
