Name,RA,DEC,z,LogLnu2500,LogL3000_THB21
SDSSJ004354.98+423430.2,10.979093,42.575086,0.191,29.111453020048412,0.0
SDSSJ005050.74+353642.9,12.711409,35.611917,0.058,29.000442784688566,0.0
SDSSJ005346.15+223222.3,13.4423,22.539576,0.149,29.391100125847302,44.51799263253896
SDSSJ015530.02-085704.0,28.875097,-8.951171,0.165,29.203134758933572,44.35047906342002
SDSSJ015536.03+311518.0,28.90011,31.255005,0.133373767137527,28.97507326300983,0.0
SDSSJ075620.08+304535.3,119.083645,30.759695,0.235748,28.95897006382033,44.29645026558027
SDSSJ084349.75+261910.7,130.95731,26.319668,0.2571,29.775072576078507,44.529161656881456
SDSSJ085334.25+434902.3,133.392676,43.817314,0.5149,30.428882927528115,45.66025327300598
SDSSÂ J093653.84+533126.9,144.224359,53.524125,0.227580606937408,29.185428791438888,0.0
SDSSJ115758.72-002220.8,179.494672,-0.372498,0.260354,29.63778595246587,44.76013077777642
SDSSJ122534.79-024757.1,186.394967,-2.799215,0.195419,29.092210938689412,44.502020200312714
SDSSJ123235.82+060310.0,188.149248,6.05276,0.083473,28.80796079949581,0.0
SDSSJ132059.41+295728.1,200.24758,29.957831,0.206057116389275,28.98830225007559,44.307461559636074
SDSSJ132144.97+033055.7,200.437372,3.515519,0.268833,29.9457385704163,45.250401030245925
SDSSJ135712.61+170444.1,209.302553,17.078907,0.15,29.42595852330187,43.79786857852423
SDSSJ152139.66+033729.2,230.415285,3.624788,0.1265,28.9481855082864,43.992749393776755
SDSSJ161711.42+063833.4,244.297515,6.642622,0.229454,29.086124665970377,44.93770040648618
SDSSJ163013.56+375821.7,247.556599,37.972704,0.3945,29.01588795891057,46.41847923370337
SDSSJ165958.94+620218.1,254.995547,62.038377,0.232715,29.44467756520485,44.39243918321431
SDSSJ171448.50+332738.3,258.702047,33.460622,0.1812,28.970292956745087,44.46513529555031
SDSSJ235152.80+261932.6,357.969994,26.325747,0.04,28.475073619000828,0.0
TonS180,14.333101,-22.383083,0.062,29.543292060007825,0.0
TonS210,20.464636,-28.349368,0.116,30.04301937712528,0.0
UKS0242-72.4,40.790053,-72.280118,0.102,29.3985767097092,0.0
VIIIZw233,196.393714,18.325821,0.118,28.95959106406922,43.9870985225519
WPVS7,9.815977,-51.283748,0.029,28.182047301055825,0.0
