object_name,spec_name,redshift,CIV_blueshift,CIV_EW,f2500,components_used,manual_masking_applied,forced_components
2MASS J15434073+1128015_COS,2MASS J15434073+1128015_COS,0.4216610211436046,-632.0507525105193,25.93692617929639,0.2732278642351908,,False,False
2MASS J15583777+0813455_STIS,2MASS J15583777+0813455_STIS,0.5171013912709157,473.48142602680343,11.165156954321166,0.6406788467225877,,False,False
2MASS J16171142+0638333_COS,2MASS J16171142+0638333_COS,0.2291917381085154,2055.57348271678,89.94781261163749,0.08997256475980345,,False,False
2MASS J16595894+6202181_COS,2MASS J16595894+6202181_COS,0.2326870796856196,9574.141002142673,0.0,0.44351994798074845,,False,False
2MASS J17144850+3327383_COS,2MASS J17144850+3327383_COS,0.1804647950383507,-978.3669360043486,280.52749673516263,0.7826060567871902,,False,False
2MASS J17144850+3327383_STIS,2MASS J17144850+3327383_STIS,0.1804647950383507,-1186.3463871750678,160.36070864498942,1.7589620559868306,,False,False
2MASS J21145258+0607423_FOS,2MASS J21145258+0607423_FOS,0.4608,1368.7301546325386,60.96755567190264,0.5036548718542861,,False,False
2MASS J21145258+0607423_STIS,2MASS J21145258+0607423_STIS,0.4608,1506.214988254143,40.51654688337223,0.5169540161713465,,False,False
2MASS J22360767+1343554_STIS,2MASS J22360767+1343554_STIS,0.3264161497257916,1643.661099207463,6.573172811967877,0.6044388531639081,,False,False
2MASS J22484115-5109532_COS,2MASS J22484115-5109532_COS,0.1,128.44309058521125,108.02036763645295,0.4210600460442894,,False,False
2MASSI J0352305-071102_FOS,2MASSI J0352305-071102_FOS,0.9658738719295776,-147.88187004671502,31.484486827729462,0.45929855678353354,,False,False
2MASSI J0859463+274534_STIS,2MASSI J0859463+274534_STIS,0.2441690756959724,542.4464981800312,30.884472182855614,0.6791777207691738,,False,False
2MASSI-J091848.6+211717_STIS,2MASSI-J091848.6+211717_STIS,0.1494941623197378,9574.141002142673,0.0,1.299306247564805,,False,False
2MASSI-J165939.7+183436_STIS,2MASSI-J165939.7+183436_STIS,0.1707950328276241,59.38121176138286,71.39846932430936,1.105356372939749,,False,False
2MASX J00122399-1022269_COS,2MASX J00122399-1022269_COS,0.2287656532346176,2055.57348271678,77.70957625638998,0.7405100492174503,,False,False
2MASX J00122399-1022269_STIS,2MASX J00122399-1022269_STIS,0.2287656532346176,5398.288458063372,5.158974247735783,1.7007431198505838,,False,False
2MASX J13053451+1819328_COS,2MASX J13053451+1819328_COS,0.1178946587914367,-1880.6438288974546,29.27453941752788,0.41087905966923366,,False,False
2MASX J13053451+1819328_STIS,2MASX J13053451+1819328_STIS,0.1178946587914367,2946.0786844618933,51.60604720060721,1.8510816956609926,,False,False
2MASX J14510879+2709272_COS,2MASX J14510879+2709272_COS,0.0648217705016947,1024.7179698995778,97.14628682643942,0.45675416573965144,,False,False
2MASX J14510879+2709272_STIS,2MASX J14510879+2709272_STIS,0.0648217705016947,1574.9477243978852,26.294527128267223,0.7043089915492172,,False,False
2MASX-J00391586-5117013_COS,2MASX-J00391586-5117013_COS,0.029,-147.88187004671502,6.3767442161782935,0.538542769096526,,False,False
2MASX-J00391586-5117013_FOS,2MASX-J00391586-5117013_FOS,0.029,404.4969925394556,27.064116001536853,1.242025586453746,,False,False
2QZ J111054.9+004853_STIS,2QZ J111054.9+004853_STIS,0.7616487922652773,1849.685055631564,21.324971348895893,0.4711052302522113,,False,False
3C 196_STIS,3C 196_STIS,0.870798811921011,-1186.3463871750678,2.830717352054441,0.7748709262476312,,False,False
3C 286_FOS,3C 286_FOS,0.8495430998896137,680.3185584841262,9.295854902011662,0.4901067166767071,,False,False
3C 288.1_FOS,3C 288.1_FOS,0.9628518226516242,2398.385264733984,10.538383130933207,0.42689079250125855,,False,False
3C 288.1_STIS,3C 288.1_STIS,0.9628518226516242,3082.8471487208762,3.9933298586033383,0.43621341674732295,,False,False
3C 332.0_FOS,3C 332.0_FOS,0.1509745000065142,749.2255466349936,98.00547499489565,0.6652164002974477,,False,False
3C 454.3_FOS,3C 454.3_FOS,0.8586,473.48142602680343,13.498772483697667,0.6174176833389731,,False,False
3C 84_COS,3C 84_COS,0.0175,749.2255466349936,5.261266185280183,0.24730996061046354,,False,False
